MAP NAME                  | DIFFICULTY   | CREATOR                        | DATE        
========================================================================================
001                       | Main         | Beautemps                      | 2023-07-19  
001                       | Main         | Beautemps                      | 2023-07-19  
002                       | Main         | Beautemps                      | 2021-04-23  
003                       | Main         | Beautemps                      | 2021-03-05  
004                       | Hard         | Beautemps                      | 2022-01-11  
005                       | Main         | Beautemps                      | 2023-05-04  
007                       | Hard         | Beautemps                      | 2021-06-18  
008                       | Hard         | Beautemps                      | 2021-10-12  
012                       | Insane       | Beautemps                      | 2021-05-14  
069                       | Extreme      | Beautemps                      | 2021-12-17  
0Percent                  | Hard         | Zonsa                          | 2019-06-06  
1Spiral                   | Insane       | FlipLipp                       | 2026-01-04  
2020                      | Hard         | Afterbjörn                     | 2025-06-28  
2021                      | Easy         | Afterbjörn                     | 2025-06-02  
2025                      | Main         | Afterbjörn                     | 2025-03-09  
2026                      | Main         | Afterbjörn                     | 2026-01-01  
24komyu                   | Hard         | Komyu                          | 2023-06-04  
333                       | Insane       | Mixi, mops333                  | 2021-01-01  
36_5_buse                 | Extreme      | 夜                              | 2024-05-31  
48komyu                   | Insane       | Komyu                          | 2023-10-18  
4Apfelsaft                | Main         | Bl0odDens                      | 2015-05-15  
700-70                    | Hard         | Яна Соли                       | 2025-03-30  
70s                       | Extreme      | 夜                              | 2024-12-30  
7DeadlySins               | Hard         | Afterburn and ZXC¿Girl?        | 2025-08-24  
80s                       | Extreme      | Mixi                           | 2023-11-12  
90s                       | Extreme      | Tr3agle                        | 2023-08-10  
A_Christmas_Carol         | Hard         | Milaseq_, TheSunSan, ipoopi, Krumplee, Route66, Afterbjörn, FJP, ejjie | 2025-12-20  
Abyss                     | Hard         | zale, BoWser                   | 2022-03-08  
ACID                      | Insane       | RaiNy                          | 2019-02-02  
Action                    | Main         | bzw                            | 2018-07-22  
ActionHallas              | Main         | Action & Hallas                | Released during a sunrise
Aerodynamics              | Extreme      | TheSunSan                      | 2025-12-29  
afkomyu                   | Hard         | Komyu                          | 2023-02-02  
afOatmeal                 | Main         | Komyu                          | 2023-10-17  
After4Rising              | Easy         | Afterbjörn                     | 2025-07-13  
After4zuxcess             | Hard         | Afterbjörn                     | 2024-11-04  
Afternight                | Main         | Ravie                          | 2019-01-27  
Aip-Gores                 | Easy         | Unknown                        | 2017-07-02  
Aip-Hardcores             | Hard         | Themix                         | 2015-09-17  
Aip_X                     | Extreme      | Mixi                           | 2025-03-01  
AipFlip                   | Hard         | FlipLipp                       | 2018-10-12  
Aipless                   | Insane       | Themix                         | 2025-04-12  
Aled_to_the_Legend        | Mod          | firewave                       | 2023-12-29  
Alone                     | Hard         | UnKnown                        | 2019-08-12  
Alternate                 | Hard         | Route66                        | 2021-06-01  
Amethyst                  | Hard         | Spino                          | 2023-07-30  
Amol1                     | Main         | Amol                           | 2015-05-29  
Amol2                     | Main         | Amol                           | 2015-05-12  
Anagrama                  | Hard         | FLipLipp                       | 2020-09-01  
Angeldust                 | Insane       | Angeldust                      | 2020-08-07  
Angeldust2                | Insane       | Angeldust                      | 2020-11-13  
Angeldust3                | Insane       | Angeldust                      | 2021-03-02  
Angry                     | Hard         | sasha34827                     | 2025-04-27  
Anonymous                 | Main         | Zero, Omesurion                | 2021-06-22  
Anotherworld              | Hard         | J4M3S & Zonsa                  | 2025-08-02  
Aqua                      | Hard         | Mqx                            | 2021-12-12  
Arcturus                  | Hard         | Warto                          | 2024-03-16  
Arena                     | Main         | Warto                          | 2023-08-23  
Arise                     | Solo         | FJP                            | 2024-07-20  
Arylz4ChillerDragon       | Hard         | Arylz                          | 2025-10-26  
Arylz4FJP                 | Main         | Arylz                          | 2023-12-30  
Arylz4KoG                 | Main         | Arylz                          | 2025-08-02  
Arylz4Sneaky              | Hard         | Arylz                          | 2025-07-05  
Arylz4ZeroKani            | Insane       | Arylz                          | 2025-10-19  
AscensionToHeaven         | Extreme      | Mixi                           | 2022-05-31  
asnoZ                     | Hard         | Zonsa                          | 2022-12-26  
Aster                     | Extreme      | ipoopi                         | 2023-07-25  
Astralyca                 | Insane       | Shiiir0, Xin                   | 2021-10-29  
Asunder                   | Insane       | ipoopi                         | 2024-01-27  
Atheris4Kaeloo            | Insane       | Atheris                        | 2023-04-21  
Aura                      | Mod          | Warto                          | 2023-05-30  
Autumn_Sunset             | Solo         | Themix                         | 2023-03-28  
Awakening                 | Hard         | RealTaco                       | 2024-12-26  
BabyDragger               | Mod          | тυx                            | 2025-09-01  
Balada                    | Mod          | Warto                          | 2021-11-26  
bazawa                    | Insane       | bzw                            | 2020-04-07  
BBB                       | Extreme      | Krumplee                       | 2025-10-12  
Beam                      | Insane       | FlipLipp                       | 2019-07-17  
BecauseMaybe              | Main         | Afterbjörn                     | 2024-09-01  
Beyblade                  | Hard         | Shyzo                          | 2017-07-29  
BG13                      | Solo         | Themix                         | 2023-03-07  
BHRX-Competition          | Main         | Bl0odDens, Hallas, RedFight, xRyperion_ | Released during a sunrise
BitKoG                    | Hard         | RealTaco                       | 2024-12-08  
BitLand                   | Hard         | MoonCake                       | 2019-03-11  
Bl0od-Dens10              | Main         | Bl0odDens                      | Released during a sunrise
Bl0od4Anni                | Main         | Bl0odDens                      | Released during a sunrise
Bl0od4Isi                 | Main         | Bl0odDens                      | Released during a sunrise
Bl0od4Maxe                | Main         | Bl0odDens                      | Released during a sunrise
Bl0od4Miku                | Main         | Bl0od-Dens                     | 2017-02-22  
Bl0od4Waschi              | Hard         | Bl0odDens                      | Released during a sunrise
Bl0od4Zant                | Main         | Bl0odDens                      | Released during a sunrise
Bl0odDens5                | Main         | Bl0odDens                      | 2013-05-13  
Bl0odDens7                | Main         | Bl0odDens                      | Released during a sunrise
Bl0odDens8                | Unknown      | Bl0odDens                      | Released during a sunrise
Bl0odFlip                 | Main         | Bl0odDens & FlipLipp           | Released during a sunrise
BLACK_SMOKE               | Main         | Rei ayanami                    | 2021-07-09  
Black_Widow               | Extreme      | Mixi                           | 2023-12-15  
BlackDoods                | Solo         | Zonsa                          | 2023-08-30  
Blackwolf                 | Hard         | Beautemps                      | 2021-01-03  
Blasphemy                 | Hard         | RaiNy                          | 2020-01-03  
blim4zale                 | Hard         | blim                           | 2020-11-10  
blim_Gores                | Hard         | blim                           | 2020-09-15  
BloodLine                 | Solo         | alya?                          | 2025-12-25  
bloodstone                | Main         | GELO                           | 2021-01-12  
blue_space                | Hard         | purrpT                         | 2020-05-02  
BlueMoon                  | Insane       | FlipLipp                       | 2019-01-19  
BlueOne                   | Main         | Kleas_                         | 2022-08-19  
Blueprint                 | Main         | FJP                            | 2022-06-14  
BlueSky                   | Hard         | Zonsa                          | 2023-07-05  
Boardwalk                 | Main         | FJP                            | 2022-03-11  
Bomb_World                | Hard         | purrp T                        | 2020-06-19  
Bomb_World_2              | Hard         | purrp T                        | 2022-01-04  
Bomboclad2                | Insane       | Jonas                          | 2025-12-01  
bPls                      | Hard         | Route66                        | 2021-07-13  
Brexamus                  | Hard         | Nareem                         | 2021-10-24  
BRUME                     | Main         | Rei ayanami                    | 2022-04-01  
bubbles                   | Insane       | cagent, Kingston               | 2021-01-29  
Bubbly1                   | Hard         | Windy, Omesurion               | 2021-10-08  
BumM2                     | Main         | BumM                           | Released during a sunrise
Bushes                    | Easy         | Canarda                        | 2025-07-22  
bzolow                    | Solo         | bzw                            | 2022-07-12  
bzonsw                    | Hard         | Zonsa                          | 2020-04-18  
bzw1                      | Hard         | bzw                            | 2018-02-04  
bzw2                      | Insane       | bzw                            | 2018-06-29  
bzw3                      | Insane       | bzw                            | 2018-04-14  
bzw4                      | Insane       | bzw                            | 2019-01-08  
bzw4chile                 | Hard         | bzw                            | 2019-05-27  
bzw4miep                  | Hard         | bzw                            | 2018-03-27  
bzw4Treefly               | Insane       | bzw                            | 2018-10-07  
bzw4tux                   | Main         | bzw                            | 2019-12-22  
bzw5                      | Insane       | bzw                            | 2019-03-27  
bzw7                      | Insane       | bzw                            | 2019-05-31  
bzw8                      | Insane       | bzw                            | 2022-07-10  
